seq_name	lmbda	rate_bpp	n_pixels	psnr_db	dec_time_arm_sec	dec_time_ups_sec	dec_time_syn_sec	dec_time_blend_sec	dec_time_warp_sec	dec_time_bpred_sec	dec_time_all_sec
kodim01	0.0001	2.1201171875	393216	40.487417176985836	0.0589269	0.00494937	0.0291946	0.0	0.0	0.0	0.105047
kodim01	0.0004	1.2649739583333333	393216	35.62079131519393	0.0525454	0.00487283	0.020449	0.0	0.0	0.0	0.088905
kodim01	0.001	0.79644775390625	393216	32.3565256840063	0.0468993	0.00501563	0.0280519	0.0	0.0	0.0	0.0918207
kodim01	0.004	0.3231404622395833	393216	28.03226365046659	0.0373344	0.00489123	0.0278389	0.0	0.0	0.0	0.0822578
kodim01	0.02	0.09006754557291667	393216	24.39976275992135	0.0100801	0.00779537	0.0234635	0.0	0.0	0.0	0.0545428
kodim02	0.0001	1.0626220703125	393216	41.02841674803041	0.0531861	0.0049754	0.0291635	0.0	0.0	0.0	0.0993606
kodim02	0.0004	0.4919230143229167	393216	37.05099943528245	0.042036	0.00460156	0.0283004	0.0	0.0	0.0	0.0878945
kodim02	0.001	0.2653605143229167	393216	34.63118714372596	0.0328183	0.00500172	0.0194478	0.0	0.0	0.0	0.0688652
kodim02	0.004	0.10007731119791667	393216	31.556673424969162	0.0127513	0.00519355	0.0274335	0.0	0.0	0.0	0.0569618
kodim02	0.02	0.032023111979166664	393216	28.83377874380227	0.00431627	0.005902	0.0191886	0.0	0.0	0.0	0.041789
kodim03	0.0001	0.7321573893229166	393216	42.709305369673004	0.0400228	0.00436451	0.0273252	0.0	0.0	0.0	0.0833902
kodim03	0.0004	0.386962890625	393216	39.2396334567088	0.0294694	0.00487854	0.0268042	0.0	0.0	0.0	0.0723442
kodim03	0.001	0.250732421875	393216	36.89971657136115	0.0239977	0.0048926	0.026866	0.0	0.0	0.0	0.067674
kodim03	0.004	0.11905924479166667	393216	33.36233751440375	0.0128248	0.00453184	0.0273159	0.0	0.0	0.0	0.056754
kodim03	0.02	0.04071044921875	393216	29.667655253692473	0.00348318	0.00466544	0.0190229	0.0	0.0	0.0	0.0393629
kodim04	0.0001	1.1607259114583333	393216	40.94956145911471	0.0503231	0.00494758	0.0279466	0.0	0.0	0.0	0.100679
kodim04	0.0004	0.5797932942708334	393216	37.15665501926722	0.0371651	0.0050754	0.0276177	0.0	0.0	0.0	0.0872501
kodim04	0.001	0.33941650390625	393216	34.668001879040204	0.02999	0.00513221	0.0275115	0.0	0.0	0.0	0.0751476
kodim04	0.004	0.13761393229166666	393216	31.484556587057764	0.0102473	0.00449694	0.0269501	0.0	0.0	0.0	0.0551929
kodim04	0.02	0.046142578125	393216	28.153626854282155	0.00248528	0.00521661	0.019764	0.0	0.0	0.0	0.0385111
kodim05	0.0001	2.0956217447916665	393216	40.77534597992713	0.0625642	0.00465101	0.0285358	0.0	0.0	0.0	0.108256
kodim05	0.0004	1.2584635416666667	393216	36.15240005570857	0.0555456	0.0045249	0.0285157	0.0	0.0	0.0	0.100845
kodim05	0.001	0.8612874348958334	393216	33.16596318622287	0.0490815	0.00478193	0.0281884	0.0	0.0	0.0	0.093714
kodim05	0.004	0.4345296223958333	393216	28.70974179063292	0.0374812	0.00464926	0.0277908	0.0	0.0	0.0	0.0818906
kodim05	0.02	0.162841796875	393216	24.264607294887508	0.0108243	0.00546305	0.0308089	0.0	0.0	0.0	0.0591038
kodim06	0.0001	1.6642659505208333	393216	40.95719907902102	0.0517416	0.00438756	0.0277889	0.0	0.0	0.0	0.0974136
kodim06	0.0004	0.9613037109375	393216	36.57730585995059	0.0426352	0.0049284	0.0275277	0.0	0.0	0.0	0.0870886
kodim06	0.001	0.6323445638020834	393216	33.72994096747996	0.040462	0.00491188	0.0274688	0.0	0.0	0.0	0.0843087
