seq_name	lmbda	rate_bpp	n_pixels	psnr_db
kodim01	0.0001	2.1587117513020835	393216	40.820094209452826
kodim01	0.0004	1.3187662760416667	393216	35.982005113500705
kodim01	0.001	0.8537801106770834	393216	32.74138870550397
kodim01	0.004	0.32440185546875	393216	27.963226560810043
kodim01	0.02	0.08626302083333333	393216	24.257140292506737
kodim02	0.0001	1.094970703125	393216	41.180871427183575
kodim02	0.0004	0.4999186197916667	393216	37.135956604014766
kodim02	0.001	0.2771809895833333	393216	34.68318003255139
kodim02	0.004	0.10774739583333333	393216	31.325030785460342
kodim02	0.02	0.035074869791666664	393216	28.633445659286533
kodim03	0.0001	0.7737630208333334	393216	42.98685297064391
kodim03	0.0004	0.40673828125	393216	39.48940328275665
kodim03	0.001	0.26361083984375	393216	37.10944558894492
kodim03	0.004	0.12233479817708333	393216	33.41174969545704
kodim03	0.02	0.0439453125	393216	29.73306173048392
kodim04	0.0001	1.1997884114583333	393216	41.19302299398865
kodim04	0.0004	0.5998738606770834	393216	37.29814487332308
kodim04	0.001	0.36370849609375	393216	34.82996646051228
kodim04	0.004	0.142333984375	393216	31.33921219630136
kodim04	0.02	0.050944010416666664	393216	28.1956897324911
kodim05	0.0001	2.0652058919270835	393216	40.92304816055123
kodim05	0.0004	1.2705078125	393216	36.547386598574214
kodim05	0.001	0.88128662109375	393216	33.500295927173454
kodim05	0.004	0.4433797200520833	393216	28.88913889824371
kodim05	0.02	0.17075602213541666	393216	24.235233371085517
kodim06	0.0001	1.697021484375	393216	41.36056543998456
kodim06	0.0004	0.9986165364583334	393216	36.870603167594844
kodim06	0.001	0.6396687825520834	393216	33.88510409518076
kodim06	0.004	0.28753662109375	393216	29.467987921037498
kodim06	0.02	0.08040364583333333	393216	25.342807757906556
kodim07	0.0001	0.9130859375	393216	42.65771099626964
kodim07	0.0004	0.5338541666666666	393216	39.37840406779267
kodim07	0.001	0.3665364583333333	393216	36.871663153018254
kodim07	0.004	0.20263671875	393216	33.016905412828294
kodim07	0.02	0.08170572916666667	393216	28.28146065378338
kodim08	0.0001	2.21575927734375	393216	40.240006943191176
kodim08	0.0004	1.296142578125	393216	35.69320338111697
kodim08	0.001	0.872802734375	393216	32.83966158227663
kodim08	0.004	0.44110107421875	393216	28.651690044979368
kodim08	0.02	0.18147786458333334	393216	23.984248024492388
kodim09	0.0001	0.7883504231770834	393216	41.00607472892121
kodim09	0.0004	0.4551798502604167	393216	38.56772139952574
kodim09	0.001	0.3096720377604167	393216	36.456808524604334
kodim09	0.004	0.16050211588541666	393216	32.8777896447363
kodim09	0.02	0.063720703125	393216	28.867321310909887
kodim10	0.0001	0.8407389322916666	393216	41.1424534349534
kodim10	0.0004	0.4571329752604167	393216	38.37003243553956
kodim10	0.001	0.30364990234375	393216	36.21337807873451
kodim10	0.004	0.16099039713541666	393216	32.91467455909153
kodim10	0.02	0.061279296875	393216	28.81380566999954
kodim11	0.0001	1.5491536458333333	393216	41.26227969644458
kodim11	0.0004	0.8362019856770834	393216	36.7392333741859
kodim11	0.001	0.51800537109375	393216	33.847248172730446
kodim11	0.004	0.23708089192708334	393216	30.042537981122692
kodim11	0.02	0.07486979166666667	393216	26.21615042569974
kodim12	0.0001	0.9426472981770834	393216	41.694552877233086
kodim12	0.0004	0.4734090169270833	393216	37.95454843010907
kodim12	0.001	0.27484130859375	393216	35.48800001884038
kodim12	0.004	0.11775716145833333	393216	32.189807515994616
kodim12	0.02	0.046305338541666664	393216	29.591361637206308
kodim13	0.0001	2.9822591145833335	393216	40.267855091903655
kodim13	0.0004	1.92523193359375	393216	35.270980568702285
kodim13	0.001	1.29754638671875	393216	31.718622480089586
kodim13	0.004	0.55828857421875	393216	26.77793073747325
kodim13	0.02	0.171630859375	393216	22.50520455633763
kodim14	0.0001	1.957275390625	393216	40.97125701512027
kodim14	0.0004	1.1143391927083333	393216	36.24215137824337
kodim14	0.001	0.6927286783854166	393216	33.15997289196751
kodim14	0.004	0.3214518229166667	393216	29.106041921489293
kodim14	0.02	0.109375	393216	25.411568030585023
kodim15	0.0001	1.1376953125	393216	41.793999163060995
kodim15	0.0004	0.5423990885416666	393216	37.73450263484611
kodim15	0.001	0.33056640625	393216	35.37634123980589
kodim15	0.004	0.14170328776041666	393216	31.91579372424092
kodim15	0.02	0.05322265625	393216	28.588270727729657
kodim16	0.0001	1.2100423177083333	393216	41.89311107315313
kodim16	0.0004	0.6650594075520834	393216	37.68788839116225
kodim16	0.001	0.4092814127604167	393216	34.85284052247837
kodim16	0.004	0.17138671875	393216	30.796184906006413
kodim16	0.02	0.0419921875	393216	27.04272362521266
kodim17	0.0001	1.0590006510416667	393216	41.295022929124876
kodim17	0.0004	0.5774943033854166	393216	37.952790408396325
kodim17	0.001	0.3855183919270833	393216	35.53651589002102
kodim17	0.004	0.18546549479166666	393216	32.01291070636962
kodim17	0.02	0.07137044270833333	393216	27.928989196067526
kodim18	0.0001	1.9858601888020833	393216	39.90581439745172
kodim18	0.0004	1.1440633138020833	393216	35.96502377621191
kodim18	0.001	0.74774169921875	393216	33.19748011673082
kodim18	0.004	0.3471883138020833	393216	28.932900318660415
kodim18	0.02	0.10628255208333333	393216	24.738032700985535
kodim19	0.0001	1.388671875	393216	40.69646488093633
kodim19	0.0004	0.78704833984375	393216	36.95275589291883
kodim19	0.001	0.47161865234375	393216	34.08492366560933
kodim19	0.004	0.19167073567708334	393216	30.367431659946877
kodim19	0.02	0.07511393229166667	393216	27.15178352883592
kodim20	0.0001	0.9783528645833334	393216	41.70515110068731
kodim20	0.0004	0.538818359375	393216	38.42817739830467
kodim20	0.001	0.3143107096354167	393216	35.6253266856833
kodim20	0.004	0.14365641276041666	393216	32.271622400580505
kodim20	0.02	0.059163411458333336	393216	28.9929654117434
kodim21	0.0001	1.4767252604166667	393216	40.83165365356362
kodim21	0.0004	0.8829142252604166	393216	37.147413403998634
kodim21	0.001	0.5901896158854166	393216	34.3499174712024
kodim21	0.004	0.2871297200520833	393216	30.167624999096198
kodim21	0.02	0.09716796875	393216	25.88534119047999
kodim22	0.0001	1.681640625	393216	40.557885842233446
kodim22	0.0004	0.9003092447916666	393216	36.37971224477119
kodim22	0.001	0.52117919921875	393216	33.42967262267996
kodim22	0.004	0.21160888671875	393216	29.668227745668982
kodim22	0.02	0.06461588541666667	393216	26.41112592854453
kodim23	0.0001	0.7335611979166666	393216	42.11543834552724
kodim23	0.0004	0.39300537109375	393216	39.22545544181658
kodim23	0.001	0.25628662109375	393216	37.2097838630501
kodim23	0.004	0.13535563151041666	393216	34.07533995158556
kodim23	0.02	0.060221354166666664	393216	30.08025841414151
kodim24	0.0001	1.7881062825520833	393216	41.37190073812227
kodim24	0.0004	1.0672403971354167	393216	36.95561144987525
kodim24	0.001	0.7058308919270834	393216	33.85482835316341
kodim24	0.004	0.3493855794270833	393216	29.386559389905447
kodim24	0.02	0.11669921875	393216	24.838222084041274
