lmbda	seq_name	n_pixels	loss	psnr_db	rate_bpp
0.0004	kodim21	393216	0.526977	36.982086	0.816566
0.001	kodim21	393216	0.929472	34.19213	0.548593
0.004	kodim21	393216	1.987301	30.095428	0.252259
0.02	kodim21	393216	4.345797	26.122008	0.095175
0.0001	kodim22	393216	0.248016	40.399662	1.56808
0.0004	kodim22	393216	0.577288	36.191476	0.842333
0.001	kodim22	393216	0.949345	33.298851	0.481486
0.004	kodim22	393216	1.806188	29.819795	0.190955
0.02	kodim22	393216	3.467667	26.87244	0.070647
0.0001	kodim23	393216	0.12639	42.072303	0.643364
0.0004	kodim23	393216	0.256594	39.331333	0.349873
0.001	kodim23	393216	0.419603	37.268756	0.23205
0.004	kodim23	393216	0.883075	34.117089	0.123889
0.02	kodim23	393216	2.117085	30.689247	0.063192
0.0001	kodim24	393216	0.243027	41.262805	1.682585
0.0004	kodim24	393216	0.60763	36.765703	0.992609
0.001	kodim24	393216	1.087563	33.682086	0.65922
0.004	kodim24	393216	2.366741	29.427688	0.306471
0.02	kodim24	393216	5.211878	25.376766	0.115619
