lmbda	seq_name	n_pixels	loss	psnr_db	rate_bpp
0.0001	C-BQMall_832x480_60p_yuv420_8b	399360	0.160751	41.871223	0.957562
0.0004	C-BQMall_832x480_60p_yuv420_8b	399360	0.367405	38.268903	0.546078
0.001	C-BQMall_832x480_60p_yuv420_8b	399360	0.621815	35.702337	0.352807
0.004	C-BQMall_832x480_60p_yuv420_8b	399360	1.336616	31.900662	0.172765
0.02	C-BQMall_832x480_60p_yuv420_8b	399360	3.02816	28.258131	0.076736
0.0001	C-BasketballDrill_832x480_50p_yuv420_8b	399360	0.125148	42.59673	0.701527
0.0004	C-BasketballDrill_832x480_50p_yuv420_8b	399360	0.254211	39.183425	0.333813
0.001	C-BasketballDrill_832x480_50p_yuv420_8b	399360	0.406764	37.029771	0.208601
0.004	C-BasketballDrill_832x480_50p_yuv420_8b	399360	0.824648	34.045936	0.107682
0.02	C-BasketballDrill_832x480_50p_yuv420_8b	399360	1.954057	30.89413	0.057006
0.0001	C-PartyScene_832x480_50p_yuv420_8b	399360	0.284199	40.49609	1.949933
0.0004	C-PartyScene_832x480_50p_yuv420_8b	399360	0.707825	35.809219	1.113389
0.001	C-PartyScene_832x480_50p_yuv420_8b	399360	1.225126	32.908211	0.713234
0.004	C-PartyScene_832x480_50p_yuv420_8b	399360	2.560812	28.78152	0.309233
0.02	C-PartyScene_832x480_50p_yuv420_8b	399360	5.197806	25.003692	0.101911
0.0001	C-RaceHorses_832x480_30p_yuv420_8b	399360	0.173472	42.152346	1.125515
0.0004	C-RaceHorses_832x480_30p_yuv420_8b	399360	0.400556	38.036627	0.608495
0.001	C-RaceHorses_832x480_30p_yuv420_8b	399360	0.681025	35.166095	0.376663
0.004	C-RaceHorses_832x480_30p_yuv420_8b	399360	1.389343	31.166642	0.156229
0.02	C-RaceHorses_832x480_30p_yuv420_8b	399360	2.798844	28.413087	0.067888
0.0001	E-FourPeople_1280x720_60p_yuv420_8b	921600	0.077693	44.562866	0.427213
0.0004	E-FourPeople_1280x720_60p_yuv420_8b	921600	0.166117	41.542877	0.240044
0.001	E-FourPeople_1280x720_60p_yuv420_8b	921600	0.275754	39.469307	0.162756
0.004	E-FourPeople_1280x720_60p_yuv420_8b	921600	0.613502	35.785962	0.087406
0.02	E-FourPeople_1280x720_60p_yuv420_8b	921600	1.501316	31.648647	0.04086
0.0001	E-Johnny_1280x720_60p_yuv420_8b	921600	0.060236	44.798825	0.271139
0.0004	E-Johnny_1280x720_60p_yuv420_8b	921600	0.110877	42.582765	0.13926
0.001	E-Johnny_1280x720_60p_yuv420_8b	921600	0.173718	40.574852	0.086116
0.004	E-Johnny_1280x720_60p_yuv420_8b	921600	0.36268	37.590465	0.047129
0.02	E-Johnny_1280x720_60p_yuv420_8b	921600	0.888727	34.4255	0.026389
0.0001	E-KristenAndSara_1280x720_60p_yuv420_8b	921600	0.060972	45.192324	0.307193
0.0004	E-KristenAndSara_1280x720_60p_yuv420_8b	921600	0.121085	42.594431	0.16515
0.001	E-KristenAndSara_1280x720_60p_yuv420_8b	921600	0.200501	40.637402	0.114152
0.004	E-KristenAndSara_1280x720_60p_yuv420_8b	921600	0.431836	37.362432	0.062071
0.02	E-KristenAndSara_1280x720_60p_yuv420_8b	921600	1.10689	33.462853	0.032818
