seq_name	lmbda	rate_bpp	n_pixels	psnr_db	dec_time_arm_sec	dec_time_ups_sec	dec_time_syn_sec	dec_time_warp_sec	dec_time_bpred_sec	dec_time_all_sec
kodim01	0.0001	2.1030680338541665	393216	40.44085649742022	0.0881938	0.00637468	0.0640438	0.0	0.0	0.175155
kodim01	0.0004	1.26068115234375	393216	35.49516500995822	0.0853454	0.00980521	0.124378	0.0	0.0	0.240812
kodim01	0.001	0.8056233723958334	393216	32.318682681990936	0.105413	0.0113248	0.181764	0.0	0.0	0.322312
kodim01	0.004	0.3204142252604167	393216	27.939193761169392	0.067233	0.00899716	0.111516	0.0	0.0	0.216554
kodim01	0.02	0.08768717447916667	393216	24.335821873205173	0.00794844	0.0109634	0.0242757	0.0	0.0	0.0602701
kodim02	0.0001	1.0640055338541667	393216	40.96697458554135	0.0839918	0.00803618	0.0673386	0.0	0.0	0.17493
kodim02	0.0004	0.49542236328125	393216	37.0388114191646	0.07142	0.00974118	0.121623	0.0	0.0	0.224146
kodim02	0.001	0.2743937174479167	393216	34.655423582696926	0.0744514	0.0109937	0.17637	0.0	0.0	0.288941
kodim02	0.004	0.0919189453125	393216	31.3532159972608	0.0110247	0.007315	0.0212817	0.0	0.0	0.0601847
kodim02	0.02	0.030598958333333332	393216	28.7113155765336	0.00418574	0.00804148	0.0236478	0.0	0.0	0.056084
kodim03	0.0001	0.7350056966145834	393216	42.76429152893976	0.0646437	0.00544811	0.0697665	0.0	0.0	0.155692
kodim03	0.0004	0.3869832356770833	393216	39.346831465740415	0.052079	0.0101713	0.123362	0.0	0.0	0.207501
kodim03	0.001	0.2554524739583333	393216	36.997702168254335	0.050687	0.0107752	0.182546	0.0	0.0	0.26872
kodim03	0.004	0.118408203125	393216	33.28258307586098	0.0183039	0.00818449	0.115367	0.0	0.0	0.166565
kodim03	0.02	0.039530436197916664	393216	29.52012206694117	0.00327737	0.00955345	0.0241178	0.0	0.0	0.0573249
kodim04	0.0001	1.1683146158854167	393216	40.957889390018835	0.0779572	0.00654569	0.069926	0.0	0.0	0.170126
kodim04	0.0004	0.5867716471354166	393216	37.19161184163156	0.0687042	0.0103372	0.123018	0.0	0.0	0.224543
kodim04	0.001	0.3316243489583333	393216	34.697628121505076	0.0515731	0.011332	0.181298	0.0	0.0	0.269125
kodim04	0.004	0.13905843098958334	393216	31.454454424485956	0.0195048	0.0088515	0.114166	0.0	0.0	0.16841
kodim04	0.02	0.046101888020833336	393216	28.09514564242043	0.00349381	0.00954495	0.0247241	0.0	0.0	0.0586291
kodim05	0.0001	2.04779052734375	393216	40.81918204917399	0.0921831	0.00670622	0.0668582	0.0	0.0	0.182468
kodim05	0.0004	1.2472737630208333	393216	36.2745101102836	0.0602435	0.00451054	0.0331244	0.0	0.0	0.109615
kodim05	0.001	0.8672281901041666	393216	33.233300192739264	0.10194	0.0114017	0.184126	0.0	0.0	0.321925
kodim05	0.004	0.43896484375	393216	28.709000660381214	0.0597006	0.00857901	0.114674	0.0	0.0	0.206453
kodim05	0.02	0.16227213541666666	393216	24.17047768698712	0.0166926	0.00778941	0.112023	0.0	0.0	0.155464
kodim06	0.0001	1.6530965169270833	393216	40.94881259420423	0.079154	0.00692681	0.0707735	0.0	0.0	0.172496
kodim06	0.0004	0.9640299479166666	393216	36.5599318078358	0.0536109	0.00420582	0.0332228	0.0	0.0	0.1299
kodim06	0.001	0.6258138020833334	393216	33.679108413570404	0.0831624	0.0114584	0.176474	0.0	0.0	0.295528
kodim06	0.004	0.2803751627604167	393216	29.366253378906535	0.030387	0.00905212	0.0219035	0.0	0.0	0.083173
kodim06	0.02	0.07456461588541667	393216	25.31943889413835	0.00606573	0.0104998	0.0237497	0.0	0.0	0.0601044
kodim07	0.0001	0.8806966145833334	393216	42.413231720435235	0.0731694	0.0053296	0.0723588	0.0	0.0	0.167792
kodim07	0.0004	0.50054931640625	393216	39.04273474785717	0.0400426	0.00461647	0.0326531	0.0	0.0	0.0884794
kodim07	0.001	0.3511759440104167	393216	36.65038638996733	0.0640723	0.0117565	0.177963	0.0	0.0	0.279515
kodim07	0.004	0.18223063151041666	393216	32.59498744651074	0.0224861	0.00869531	0.112459	0.0	0.0	0.165834
kodim07	0.02	0.07668050130208333	393216	28.16445216652296	0.00449183	0.00840273	0.0231517	0.0	0.0	0.0536487
kodim08	0.0001	2.1806437174479165	393216	40.01661397083342	0.0931395	0.00627289	0.0637218	0.0	0.0	0.179837
kodim08	0.0004	1.2676188151041667	393216	35.47952561118048	0.0627116	0.00459265	0.0355694	0.0	0.0	0.114446
kodim08	0.001	0.8570556640625	393216	32.689580431967705	0.105425	0.0110487	0.186948	0.0	0.0	0.330095
kodim08	0.004	0.4474894205729167	393216	28.590597261721797	0.067899	0.00886245	0.113238	0.0	0.0	0.214457
kodim08	0.02	0.1834716796875	393216	24.210635543920986	0.0257304	0.0083209	0.112926	0.0	0.0	0.166422
kodim09	0.0001	0.7674153645833334	393216	40.92172908013225	0.0588066	0.00571682	0.0616085	0.0	0.0	0.141256
kodim09	0.0004	0.44482421875	393216	38.51498120824316	0.0288988	0.00378602	0.0336426	0.0	0.0	0.0786674
kodim09	0.001	0.3009033203125	393216	36.372619911208766	0.0473861	0.00802614	0.0846589	0.0	0.0	0.16724
kodim09	0.004	0.14975992838541666	393216	32.71003876943646	0.0259787	0.00843067	0.114092	0.0	0.0	0.17119
kodim09	0.02	0.058308919270833336	393216	28.86634451178074	0.00598135	0.00720404	0.0234152	0.0	0.0	0.0570167
kodim10	0.0001	0.81640625	393216	41.04629366644431	0.0768	0.00564232	0.0612898	0.0	0.0	0.160118
kodim10	0.0004	0.45489501953125	393216	38.329355478965	0.0362391	0.00422552	0.0313259	0.0	0.0	0.085869
kodim10	0.001	0.30072021484375	393216	36.21209532190909	0.052876	0.00613407	0.0766622	0.0	0.0	0.156841
kodim10	0.004	0.1416015625	393216	32.47203955022014	0.0146754	0.00841841	0.0222201	0.0	0.0	0.066266
kodim10	0.02	0.053731282552083336	393216	28.466560240543323	0.00480548	0.0105638	0.024882	0.0	0.0	0.0594722
kodim11	0.0001	1.5152384440104167	393216	40.94782017731765	0.0828853	0.00557448	0.0619689	0.0	0.0	0.165772
kodim11	0.0004	0.8371785481770834	393216	36.65880998876358	0.0586753	0.0067176	0.0733139	0.0	0.0	0.156539
kodim11	0.001	0.5186360677083334	393216	33.7821330682491	0.052273	0.00659808	0.0922912	0.0	0.0	0.168312
kodim11	0.004	0.22532145182291666	393216	29.950510522086887	0.0335968	0.00861772	0.107095	0.0	0.0	0.16787
kodim11	0.02	0.06990559895833333	393216	26.27419082941946	0.00720489	0.0078399	0.0217485	0.0	0.0	0.0567624
kodim12	0.0001	0.9133097330729166	393216	41.53043609262536	0.0740865	0.00558711	0.0623045	0.0	0.0	0.159343
kodim12	0.0004	0.4569295247395833	393216	37.90232097723396	0.0607378	0.00624513	0.0722911	0.0	0.0	0.158824
kodim12	0.001	0.2684529622395833	393216	35.4243556222669	0.0297089	0.00482357	0.0165543	0.0	0.0	0.0683973
kodim12	0.004	0.10479736328125	393216	32.05187216738294	0.0138665	0.00781626	0.020899	0.0	0.0	0.0605615
kodim12	0.02	0.038614908854166664	393216	29.392016129011548	0.00368069	0.00901604	0.0240615	0.0	0.0	0.0569235
kodim13	0.0001	2.9417317708333335	393216	39.83384828641105	0.0947022	0.00634061	0.0642699	0.0	0.0	0.182886
kodim13	0.0004	1.86553955078125	393216	34.836864096714905	0.112395	0.0121487	0.188751	0.0	0.0	0.338657
kodim13	0.001	1.2406412760416667	393216	31.39249802998065	0.0628469	0.00660424	0.0933195	0.0	0.0	0.181039
kodim13	0.004	0.5391031901041666	393216	26.641138427237074	0.056412	0.00859717	0.108987	0.0	0.0	0.192311
kodim13	0.02	0.15871175130208334	393216	22.463753161831693	0.0151299	0.00637162	0.0190581	0.0	0.0	0.0599514
kodim14	0.0001	1.90179443359375	393216	40.55102595153993	0.0878286	0.00559764	0.0662795	0.0	0.0	0.176873
kodim14	0.0004	1.0812784830729167	393216	35.96227738485416	0.104786	0.0113587	0.184959	0.0	0.0	0.324949
kodim14	0.001	0.6884358723958334	393216	33.065876899638916	0.0621336	0.0065874	0.0918354	0.0	0.0	0.178046
kodim14	0.004	0.2974446614583333	393216	29.02346442022646	0.0378939	0.00820941	0.111062	0.0	0.0	0.176068
kodim14	0.02	0.09840901692708333	393216	25.146369003330662	0.00676606	0.0065522	0.0202047	0.0	0.0	0.0561332
kodim15	0.0001	1.0889078776041667	393216	41.46454701687273	0.0734863	0.0103436	0.126688	0.0	0.0	0.23237
kodim15	0.0004	0.5406087239583334	393216	37.56308363115919	0.0771018	0.0111045	0.180066	0.0	0.0	0.292869
kodim15	0.001	0.3192545572916667	393216	35.2255837686297	0.0350297	0.0063886	0.0922963	0.0	0.0	0.150822
kodim15	0.004	0.13680013020833334	393216	31.89695776686927	0.0200938	0.00836106	0.111291	0.0	0.0	0.158272
kodim15	0.02	0.050496419270833336	393216	28.68749110897602	0.00621788	0.00670964	0.0194763	0.0	0.0	0.0516975
kodim16	0.0001	1.16845703125	393216	41.53434711618822	0.080819	0.0102537	0.126692	0.0	0.0	0.240552
kodim16	0.0004	0.6411539713541666	393216	37.51097574015385	0.080362	0.0107434	0.18037	0.0	0.0	0.296433
kodim16	0.001	0.3915608723958333	393216	34.756390591904136	0.0304598	0.00467652	0.0163392	0.0	0.0	0.0699682
kodim16	0.004	0.15480550130208334	393216	30.85426804583188	0.0138253	0.00755169	0.0239509	0.0	0.0	0.0631927
kodim16	0.02	0.033589680989583336	393216	27.279385637120196	0.00422	0.00617272	0.00934399	0.0	0.0	0.038165
kodim17	0.0001	1.0716552734375	393216	41.21658864723919	0.0798856	0.0112073	0.12612	0.0	0.0	0.240026
kodim17	0.0004	0.5679117838541666	393216	37.77604471607233	0.0765271	0.0110597	0.187277	0.0	0.0	0.299919
kodim17	0.001	0.3694051106770833	393216	35.468146834727044	0.0485663	0.00868116	0.117679	0.0	0.0	0.198329
kodim17	0.004	0.170654296875	393216	31.83932903980103	0.0122006	0.00848277	0.0210057	0.0	0.0	0.0595562
kodim17	0.02	0.06583658854166667	393216	27.910812079843204	0.00473741	0.00683762	0.0204811	0.0	0.0	0.054676
kodim18	0.0001	1.9562784830729167	393216	39.68445866170275	0.0937045	0.00939599	0.12502	0.0	0.0	0.250896
kodim18	0.0004	1.1122029622395833	393216	35.709549298167744	0.0999336	0.0109878	0.187089	0.0	0.0	0.322319
kodim18	0.001	0.7248738606770834	393216	32.978937433657876	0.0625801	0.00960641	0.117151	0.0	0.0	0.215513
kodim18	0.004	0.32904052734375	393216	28.87241529462722	0.0321082	0.00829407	0.107952	0.0	0.0	0.167104
kodim18	0.02	0.08835856119791667	393216	24.52948091892402	0.0106662	0.00679454	0.0182391	0.0	0.0	0.0999205
kodim19	0.0001	1.3632609049479167	393216	40.556939583022775	0.0738552	0.0103391	0.125857	0.0	0.0	0.231287
kodim19	0.0004	0.7461344401041666	393216	36.68821129235279	0.0712125	0.0113078	0.177088	0.0	0.0	0.284247
