seq_name	lmbda	rate_bpp	n_pixels	psnr_db
B-BQTerrace_1920x1080_50p_yuv420_8b	0.0001	1.271064814814815	2073600	40.84831141720606
B-BQTerrace_1920x1080_50p_yuv420_8b	0.0004	0.6659413580246913	2073600	36.85758945273985
B-BQTerrace_1920x1080_50p_yuv420_8b	0.001	0.4175	2073600	34.73727864403928
B-BQTerrace_1920x1080_50p_yuv420_8b	0.004	0.18141975308641975	2073600	30.837407240982536
B-BQTerrace_1920x1080_50p_yuv420_8b	0.02	0.06260802469135802	2073600	27.10773579504754
B-BasketballDrive_1920x1080_50p_yuv420_8b	0.0001	0.42919753086419754	2073600	41.368339922387435
B-BasketballDrive_1920x1080_50p_yuv420_8b	0.0004	0.17743827160493827	2073600	39.34784926511529
B-BasketballDrive_1920x1080_50p_yuv420_8b	0.001	0.10268518518518518	2073600	37.83885354957517
B-BasketballDrive_1920x1080_50p_yuv420_8b	0.004	0.05158950617283951	2073600	35.39502504947254
B-BasketballDrive_1920x1080_50p_yuv420_8b	0.02	0.020910493827160495	2073600	31.98448363778845
B-Cactus_1920x1080_50p_yuv420_8b	0.0001	0.9180709876543209	2073600	39.98955191204753
B-Cactus_1920x1080_50p_yuv420_8b	0.0004	0.3885648148148148	2073600	37.22170771449608
B-Cactus_1920x1080_50p_yuv420_8b	0.001	0.25603395061728396	2073600	35.6990088950612
B-Cactus_1920x1080_50p_yuv420_8b	0.004	0.10740740740740741	2073600	32.54165034094662
B-Cactus_1920x1080_50p_yuv420_8b	0.02	0.038287037037037036	2073600	29.025318927120516
B-MarketPlace_1920x1080_60p_yuv420_10b	0.0001	0.505679012345679	2073600	42.19406566911776
B-MarketPlace_1920x1080_60p_yuv420_10b	0.0004	0.2358641975308642	2073600	39.55939168299979
B-MarketPlace_1920x1080_60p_yuv420_10b	0.001	0.13987654320987655	2073600	37.74275715144318
B-MarketPlace_1920x1080_60p_yuv420_10b	0.004	0.057067901234567904	2073600	34.738914105539045
B-MarketPlace_1920x1080_60p_yuv420_10b	0.02	0.022577160493827162	2073600	31.88801228375841
B-RitualDance_1920x1080_60p_yuv420_10b	0.0001	0.2182716049382716	2073600	47.135218213770656
B-RitualDance_1920x1080_60p_yuv420_10b	0.0004	0.11429012345679013	2073600	44.05577769503956
B-RitualDance_1920x1080_60p_yuv420_10b	0.001	0.06614197530864198	2073600	41.6483115535085
B-RitualDance_1920x1080_60p_yuv420_10b	0.004	0.035339506172839506	2073600	38.71325937757974
B-RitualDance_1920x1080_60p_yuv420_10b	0.02	0.01770061728395062	2073600	35.25068585137027
C-BQMall_832x480_60p_yuv420_8b	0.0001	1.217227564102564	399360	41.49557085051424
C-BQMall_832x480_60p_yuv420_8b	0.0004	0.7248397435897436	399360	37.64947284589538
C-BQMall_832x480_60p_yuv420_8b	0.001	0.4599358974358974	399360	34.72995609397157
C-BQMall_832x480_60p_yuv420_8b	0.004	0.215224358974359	399360	30.821307108111263
C-BQMall_832x480_60p_yuv420_8b	0.02	0.08717948717948718	399360	27.06664107094366
C-BasketballDrill_832x480_50p_yuv420_8b	0.0001	0.9058493589743589	399360	41.86856760767232
C-BasketballDrill_832x480_50p_yuv420_8b	0.0004	0.4405448717948718	399360	38.51595330286436
C-BasketballDrill_832x480_50p_yuv420_8b	0.001	0.25713141025641023	399360	36.337742707134275
C-BasketballDrill_832x480_50p_yuv420_8b	0.004	0.1296474358974359	399360	33.4719138318935
C-BasketballDrill_832x480_50p_yuv420_8b	0.02	0.06330128205128205	399360	29.28199160477751
C-PartyScene_832x480_50p_yuv420_8b	0.0001	2.2420673076923077	399360	40.603721015569334
C-PartyScene_832x480_50p_yuv420_8b	0.0004	1.3729166666666666	399360	35.729533919001284
C-PartyScene_832x480_50p_yuv420_8b	0.001	0.887900641025641	399360	32.55548317419396
C-PartyScene_832x480_50p_yuv420_8b	0.004	0.3697115384615385	399360	27.98305871475433
C-PartyScene_832x480_50p_yuv420_8b	0.02	0.10360576923076924	399360	23.742577594892484
C-RaceHorses_832x480_30p_yuv420_8b	0.0001	1.3636217948717948	399360	41.53154134875315
C-RaceHorses_832x480_30p_yuv420_8b	0.0004	0.7738782051282052	399360	37.45084585695455
C-RaceHorses_832x480_30p_yuv420_8b	0.001	0.46626602564102565	399360	34.498401650381886
C-RaceHorses_832x480_30p_yuv420_8b	0.004	0.1750801282051282	399360	30.448279692484345
C-RaceHorses_832x480_30p_yuv420_8b	0.02	0.08004807692307692	399360	27.89006834505379
D-BQSquare_416x240_60p_yuv420_8b	0.0001	1.873076923076923	99840	41.51083483139338
D-BQSquare_416x240_60p_yuv420_8b	0.0004	1.1208333333333333	99840	36.55607690798526
D-BQSquare_416x240_60p_yuv420_8b	0.001	0.8320512820512821	99840	33.9621847037332
D-BQSquare_416x240_60p_yuv420_8b	0.004	0.5240384615384616	99840	30.127118277503847
D-BQSquare_416x240_60p_yuv420_8b	0.02	0.257051282051282	99840	24.892791492424205
D-BasketballPass_416x240_50p_yuv420_8b	0.0001	1.1503205128205127	99840	42.05906830099805
D-BasketballPass_416x240_50p_yuv420_8b	0.0004	0.6628205128205128	99840	38.199465945270184
D-BasketballPass_416x240_50p_yuv420_8b	0.001	0.4346153846153846	99840	35.43987330821213
D-BasketballPass_416x240_50p_yuv420_8b	0.004	0.2483974358974359	99840	31.776278969014754
D-BasketballPass_416x240_50p_yuv420_8b	0.02	0.15673076923076923	99840	28.509046715361166
D-BlowingBubbles_416x240_50p_yuv420_8b	0.0001	1.8282051282051281	99840	40.94352945945146
D-BlowingBubbles_416x240_50p_yuv420_8b	0.0004	1.0173076923076922	99840	36.01919621859264
D-BlowingBubbles_416x240_50p_yuv420_8b	0.001	0.6349358974358974	99840	33.18495172516878
D-BlowingBubbles_416x240_50p_yuv420_8b	0.004	0.3269230769230769	99840	29.755998406514678
D-BlowingBubbles_416x240_50p_yuv420_8b	0.02	0.183974358974359	99840	26.677862148530505
D-RaceHorses_416x240_30p_yuv420_8b	0.0001	1.6503205128205127	99840	41.51019072209591
D-RaceHorses_416x240_30p_yuv420_8b	0.0004	1.0169871794871794	99840	37.17438890958022
D-RaceHorses_416x240_30p_yuv420_8b	0.001	0.5977564102564102	99840	33.78058471471456
D-RaceHorses_416x240_30p_yuv420_8b	0.004	0.33237179487179486	99840	30.742170985678698
D-RaceHorses_416x240_30p_yuv420_8b	0.02	0.1935897435897436	99840	27.260766988315083
E-FourPeople_1280x720_60p_yuv420_8b	0.0001	0.6269097222222222	921600	43.74257476193301
E-FourPeople_1280x720_60p_yuv420_8b	0.0004	0.32756944444444447	921600	40.350399183019945
E-FourPeople_1280x720_60p_yuv420_8b	0.001	0.21385416666666668	921600	38.16914750676903
E-FourPeople_1280x720_60p_yuv420_8b	0.004	0.11888888888888889	921600	34.86588011362029
E-FourPeople_1280x720_60p_yuv420_8b	0.02	0.049375	921600	30.038899531301155
E-Johnny_1280x720_60p_yuv420_8b	0.0001	0.42909722222222224	921600	44.10838015046906
E-Johnny_1280x720_60p_yuv420_8b	0.0004	0.19475694444444444	921600	41.16108352081382
E-Johnny_1280x720_60p_yuv420_8b	0.001	0.11513888888888889	921600	38.86929988737742
E-Johnny_1280x720_60p_yuv420_8b	0.004	0.0571875	921600	36.06984358270339
E-Johnny_1280x720_60p_yuv420_8b	0.02	0.03295138888888889	921600	33.24335123072533
E-KristenAndSara_1280x720_60p_yuv420_8b	0.0001	0.4711111111111111	921600	44.29335232154324
E-KristenAndSara_1280x720_60p_yuv420_8b	0.0004	0.24513888888888888	921600	41.44933028435674
E-KristenAndSara_1280x720_60p_yuv420_8b	0.001	0.1553125	921600	39.315682424612696
E-KristenAndSara_1280x720_60p_yuv420_8b	0.004	0.07822916666666667	921600	35.7835635962722
E-KristenAndSara_1280x720_60p_yuv420_8b	0.02	0.03864583333333333	921600	31.78568330427813
F-ArenaOfValor_1920x1080_60p_yuv420_8b	0.0001	0.7763734567901235	2073600	42.54198101847672
F-ArenaOfValor_1920x1080_60p_yuv420_8b	0.0004	0.42334876543209876	2073600	39.06460771585038
F-ArenaOfValor_1920x1080_60p_yuv420_8b	0.001	0.2552314814814815	2073600	36.45969618089843
F-ArenaOfValor_1920x1080_60p_yuv420_8b	0.004	0.11205246913580247	2073600	33.11396852946298
F-ArenaOfValor_1920x1080_60p_yuv420_8b	0.02	0.04189814814814815	2073600	28.889826006825928
F-BasketballDrillText_832x480_50p_yuv420_8b	0.0001	0.9522435897435897	399360	42.055526663141684
F-BasketballDrillText_832x480_50p_yuv420_8b	0.0004	0.48197115384615385	399360	38.45599200824371
F-BasketballDrillText_832x480_50p_yuv420_8b	0.001	0.30969551282051283	399360	36.30503108077609
F-BasketballDrillText_832x480_50p_yuv420_8b	0.004	0.14375	399360	33.15353339323643
F-BasketballDrillText_832x480_50p_yuv420_8b	0.02	0.06690705128205128	399360	28.396772548028054
F-SlideEditing_1280x720_30p_yuv420_8b	0.0001	1.0056944444444444	921600	44.771806846267594
F-SlideEditing_1280x720_30p_yuv420_8b	0.0004	0.7491319444444444	921600	40.365523670331044
F-SlideEditing_1280x720_30p_yuv420_8b	0.001	0.5949305555555555	921600	37.58017991131601
F-SlideEditing_1280x720_30p_yuv420_8b	0.004	0.3552777777777778	921600	32.47916771135624
F-SlideEditing_1280x720_30p_yuv420_8b	0.02	0.16444444444444445	921600	25.816647875236
F-SlideShow_1280x720_20p_yuv420_8b	0.0001	0.5871875	921600	45.85342582368636
F-SlideShow_1280x720_20p_yuv420_8b	0.0004	0.3601736111111111	921600	42.58868643916984
F-SlideShow_1280x720_20p_yuv420_8b	0.001	0.2854513888888889	921600	39.780055661245015
F-SlideShow_1280x720_20p_yuv420_8b	0.004	0.15822916666666667	921600	35.10200000259491
F-SlideShow_1280x720_20p_yuv420_8b	0.02	0.07423611111111111	921600	27.107980018495432
